Pager usage is off.
PHASE_01_PG_STAT_STATEMENTS_TOP_20
 calls | mean_ms |  total_ms  | rows  |                                                                                                                      query                                                                                                                       
       |         |            |       |                                 tmp2.wait_event,                                                                                                                                                                                                +
       |         |            |       |                                 COALESCE(count,$1) as count,                                                                                                                                                                                    +
       |         |            |       |                                 COALESCE(max_tx_duration,$2) as max_tx_du
    21 |    0.56 |      11.68 |     0 | SELECT                                                                                                                                                                                                                                          +
       |         |            |       |                 d.datname,                                                                                                                                                                                                                      +
       |         |            |       |                 s.relid::regclass::text AS relname,                                                                                                                                                                                             +
       |         |            |       |                 s.param1 AS phase,                                                                                                                                                                                                              +
       |         |            |       |                 s.param2 AS heap_blks_total,                                                                                                                                                                                                    +
       |         |            |       |                 s.param3 AS heap_blks_scanned,                                                                                                                                                                                                  +
       |         |            |       |                 s.param4 AS heap_blks_vacuumed,                                                                                                                                                                                                 +
       |         |            |       |                 s.param5 AS index_vacuum_count,                                                                                                                                                                                                 +
       |         |            |       |                 s.param6 AS max_dead_tuples
    21 |    0.33 |       6.88 |    21 | SELECT *,                                                                                                                                                                                                                                       +
       |         |            |       |                                 extract($1 from now() - last_archived_time) AS last_archive_age                                                                                                                                                 +
       |         |            |       |                         FROM pg_stat_archiver
    21 |    0.26 |       5.45 |     0 | SELECT *,                                                                                                                                                                                                                                       +
       |         |            |       |                                 (case pg_is_in_recovery() when $1 then pg_last_wal_receive_lsn() else pg_current_wal_lsn() end) AS pg_current_wal_lsn,                                                                                          +
       |         |            |       |                                 (case pg_is_in_recovery() when $2 then pg_wal_lsn_diff(pg_last_wal_receive_lsn(), pg_lsn($3))::float el
    21 |    0.23 |       4.76 |     0 | SELECT wait_event,                                                                                                                                                                                                                              +
       |         |            |       |        COUNT(*) AS waiting_sessions                                                                                                                                                                                                             +
       |         |            |       | FROM pg_stat_activity                                                                                                                                                                                                                           +
       |         |            |       | WHERE wait_event_type = $1                                                                                                                                                                                                                      +
       |         |            |       |   AND datname = current_database()                                                                                                                                                                                                              +
       |         |            |       | GROUP BY wait_event                                                                                                                                                                                                                             +
       |         |            |       | ORDER BY wait_event
    42 |    0.09 |       3.61 |    42 | SELECT version()
    21 |    0.12 |       2.45 |   105 | SELECT datid,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted,conflicts,temp_files,temp_bytes,deadlocks,blk_read_time,blk_write_time,stats_reset,active_time FROM 
(20 rows)

